Epoch: [0][860/2639], lr: 0.02000	Time 0.548 (0.595)	Data 0.000 (0.018)	Loss 4.7246 (4.9458)	Prec@1 4.688 (2.377)	Prec@5 15.625 (10.275)
Epoch: [0][880/2639], lr: 0.02000	Time 0.549 (0.594)	Data 0.000 (0.018)	Loss 4.8381 (4.9425)	Prec@1 9.375 (2.393)	Prec@5 12.500 (10.331)
Epoch: [0][900/2639], lr: 0.02000	Time 0.543 (0.593)	Data 0.000 (0.017)	Loss 4.8920 (4.9384)	Prec@1 4.688 (2.404)	Prec@5 9.375 (10.409)
Epoch: [0][920/2639], lr: 0.02000	Time 0.543 (0.592)	Data 0.000 (0.017)	Loss 4.6182 (4.9363)	Prec@1 7.812 (2.448)	Prec@5 17.188 (10.452)
Epoch: [0][940/2639], lr: 0.02000	Time 0.584 (0.591)	Data 0.000 (0.016)	Loss 4.6958 (4.9339)	Prec@1 4.688 (2.472)	Prec@5 15.625 (10.519)
Epoch: [0][960/2639], lr: 0.02000	Time 0.581 (0.590)	Data 0.000 (0.016)	Loss 4.6021 (4.9298)	Prec@1 7.812 (2.510)	Prec@5 15.625 (10.607)
Epoch: [0][980/2639], lr: 0.02000	Time 0.564 (0.589)	Data 0.000 (0.016)	Loss 4.7512 (4.9263)	Prec@1 6.250 (2.548)	Prec@5 17.188 (10.710)
Epoch: [0][1000/2639], lr: 0.02000	Time 0.575 (0.589)	Data 0.000 (0.016)	Loss 4.6994 (4.9235)	Prec@1 4.688 (2.590)	Prec@5 12.500 (10.763)
Epoch: [0][1020/2639], lr: 0.02000	Time 0.542 (0.588)	Data 0.000 (0.015)	Loss 4.6240 (4.9208)	Prec@1 9.375 (2.606)	Prec@5 20.312 (10.815)
Epoch: [0][1040/2639], lr: 0.02000	Time 0.546 (0.587)	Data 0.000 (0.015)	Loss 4.9826 (4.9183)	Prec@1 0.000 (2.616)	Prec@5 7.812 (10.864)
Epoch: [0][1060/2639], lr: 0.02000	Time 0.540 (0.586)	Data 0.000 (0.015)	Loss 4.6285 (4.9158)	Prec@1 3.125 (2.651)	Prec@5 17.188 (10.935)
Epoch: [0][1080/2639], lr: 0.02000	Time 0.580 (0.586)	Data 0.000 (0.014)	Loss 4.7141 (4.9130)	Prec@1 3.125 (2.678)	Prec@5 10.938 (11.005)
Epoch: [0][1100/2639], lr: 0.02000	Time 0.556 (0.585)	Data 0.000 (0.014)	Loss 4.9696 (4.9098)	Prec@1 4.688 (2.694)	Prec@5 10.938 (11.062)
Epoch: [0][1120/2639], lr: 0.02000	Time 0.583 (0.585)	Data 0.000 (0.014)	Loss 4.8323 (4.9063)	Prec@1 3.125 (2.718)	Prec@5 9.375 (11.144)
Epoch: [0][1140/2639], lr: 0.02000	Time 0.541 (0.584)	Data 0.000 (0.014)	Loss 4.7279 (4.9027)	Prec@1 3.125 (2.748)	Prec@5 15.625 (11.228)
Epoch: [0][1160/2639], lr: 0.02000	Time 0.542 (0.583)	Data 0.000 (0.013)	Loss 4.6687 (4.8997)	Prec@1 4.688 (2.787)	Prec@5 18.750 (11.302)
Epoch: [0][1180/2639], lr: 0.02000	Time 0.605 (0.583)	Data 0.000 (0.013)	Loss 4.6073 (4.8966)	Prec@1 10.938 (2.806)	Prec@5 23.438 (11.365)
Epoch: [0][1200/2639], lr: 0.02000	Time 0.579 (0.582)	Data 0.000 (0.013)	Loss 4.5063 (4.8929)	Prec@1 6.250 (2.837)	Prec@5 28.125 (11.464)
Epoch: [0][1220/2639], lr: 0.02000	Time 0.542 (0.582)	Data 0.000 (0.013)	Loss 4.5310 (4.8891)	Prec@1 3.125 (2.864)	Prec@5 20.312 (11.562)
Epoch: [0][1240/2639], lr: 0.02000	Time 0.581 (0.581)	Data 0.000 (0.013)	Loss 4.7246 (4.8866)	Prec@1 6.250 (2.897)	Prec@5 18.750 (11.627)
Epoch: [0][1260/2639], lr: 0.02000	Time 0.540 (0.581)	Data 0.000 (0.012)	Loss 4.6157 (4.8833)	Prec@1 7.812 (2.942)	Prec@5 15.625 (11.731)
Epoch: [0][1280/2639], lr: 0.02000	Time 0.542 (0.580)	Data 0.000 (0.012)	Loss 4.6749 (4.8792)	Prec@1 3.125 (2.984)	Prec@5 12.500 (11.829)
Epoch: [0][1300/2639], lr: 0.02000	Time 0.543 (0.580)	Data 0.000 (0.012)	Loss 4.6946 (4.8758)	Prec@1 7.812 (3.015)	Prec@5 26.562 (11.916)
Epoch: [0][1320/2639], lr: 0.02000	Time 0.541 (0.579)	Data 0.000 (0.012)	Loss 4.6936 (4.8718)	Prec@1 6.250 (3.053)	Prec@5 12.500 (12.026)
Epoch: [0][1340/2639], lr: 0.02000	Time 0.545 (0.579)	Data 0.000 (0.012)	Loss 4.6669 (4.8688)	Prec@1 6.250 (3.084)	Prec@5 21.875 (12.118)
Epoch: [0][1360/2639], lr: 0.02000	Time 0.543 (0.578)	Data 0.000 (0.011)	Loss 4.6716 (4.8644)	Prec@1 6.250 (3.125)	Prec@5 20.312 (12.247)
Epoch: [0][1380/2639], lr: 0.02000	Time 0.544 (0.578)	Data 0.000 (0.011)	Loss 4.5305 (4.8605)	Prec@1 4.688 (3.169)	Prec@5 20.312 (12.364)
Epoch: [0][1400/2639], lr: 0.02000	Time 0.542 (0.578)	Data 0.000 (0.011)	Loss 4.7341 (4.8569)	Prec@1 1.562 (3.197)	Prec@5 14.062 (12.457)
Epoch: [0][1420/2639], lr: 0.02000	Time 0.583 (0.577)	Data 0.000 (0.011)	Loss 4.4499 (4.8530)	Prec@1 4.688 (3.214)	Prec@5 20.312 (12.548)
Epoch: [0][1440/2639], lr: 0.02000	Time 0.543 (0.577)	Data 0.000 (0.011)	Loss 4.5746 (4.8485)	Prec@1 3.125 (3.248)	Prec@5 21.875 (12.673)
Epoch: [0][1460/2639], lr: 0.02000	Time 0.543 (0.577)	Data 0.000 (0.011)	Loss 4.6391 (4.8443)	Prec@1 4.688 (3.284)	Prec@5 14.062 (12.766)
Epoch: [0][1480/2639], lr: 0.02000	Time 0.542 (0.576)	Data 0.000 (0.011)	Loss 4.5219 (4.8409)	Prec@1 10.938 (3.316)	Prec@5 28.125 (12.871)
Epoch: [0][1500/2639], lr: 0.02000	Time 0.542 (0.576)	Data 0.000 (0.010)	Loss 4.6709 (4.8365)	Prec@1 7.812 (3.356)	Prec@5 17.188 (12.990)
Epoch: [0][1520/2639], lr: 0.02000	Time 0.542 (0.576)	Data 0.000 (0.010)	Loss 4.4718 (4.8317)	Prec@1 10.938 (3.414)	Prec@5 28.125 (13.119)
Epoch: [0][1540/2639], lr: 0.02000	Time 0.542 (0.575)	Data 0.000 (0.010)	Loss 4.3900 (4.8271)	Prec@1 12.500 (3.463)	Prec@5 26.562 (13.227)
Epoch: [0][1560/2639], lr: 0.02000	Time 0.543 (0.575)	Data 0.000 (0.010)	Loss 4.5500 (4.8233)	Prec@1 9.375 (3.489)	Prec@5 21.875 (13.339)
Epoch: [0][1580/2639], lr: 0.02000	Time 0.577 (0.575)	Data 0.000 (0.010)	Loss 4.5944 (4.8191)	Prec@1 3.125 (3.520)	Prec@5 14.062 (13.469)
Epoch: [0][1600/2639], lr: 0.02000	Time 0.542 (0.574)	Data 0.000 (0.010)	Loss 4.4481 (4.8147)	Prec@1 6.250 (3.560)	Prec@5 21.875 (13.585)
Epoch: [0][1620/2639], lr: 0.02000	Time 0.550 (0.574)	Data 0.000 (0.010)	Loss 4.5311 (4.8100)	Prec@1 9.375 (3.593)	Prec@5 14.062 (13.700)
Epoch: [0][1640/2639], lr: 0.02000	Time 0.575 (0.574)	Data 0.000 (0.010)	Loss 4.4036 (4.8044)	Prec@1 9.375 (3.674)	Prec@5 28.125 (13.845)
Epoch: [0][1660/2639], lr: 0.02000	Time 0.577 (0.574)	Data 0.000 (0.009)	Loss 4.4270 (4.8003)	Prec@1 7.812 (3.719)	Prec@5 18.750 (13.951)
Epoch: [0][1680/2639], lr: 0.02000	Time 0.543 (0.573)	Data 0.000 (0.009)	Loss 4.4482 (4.7953)	Prec@1 9.375 (3.778)	Prec@5 21.875 (14.070)
Epoch: [0][1700/2639], lr: 0.02000	Time 0.581 (0.573)	Data 0.000 (0.009)	Loss 4.3112 (4.7899)	Prec@1 7.812 (3.837)	Prec@5 32.812 (14.211)
Epoch: [0][1720/2639], lr: 0.02000	Time 0.543 (0.573)	Data 0.000 (0.009)	Loss 4.4506 (4.7853)	Prec@1 4.688 (3.878)	Prec@5 20.312 (14.337)
Epoch: [0][1740/2639], lr: 0.02000	Time 0.543 (0.573)	Data 0.000 (0.009)	Loss 4.1830 (4.7805)	Prec@1 14.062 (3.937)	Prec@5 31.250 (14.465)
Epoch: [0][1760/2639], lr: 0.02000	Time 0.542 (0.572)	Data 0.000 (0.009)	Loss 4.3731 (4.7751)	Prec@1 4.688 (3.988)	Prec@5 23.438 (14.607)
Epoch: [0][1780/2639], lr: 0.02000	Time 0.543 (0.572)	Data 0.000 (0.009)	Loss 4.1400 (4.7696)	Prec@1 17.188 (4.060)	Prec@5 35.938 (14.754)
Epoch: [0][1800/2639], lr: 0.02000	Time 0.544 (0.572)	Data 0.000 (0.009)	Loss 4.2013 (4.7653)	Prec@1 9.375 (4.101)	Prec@5 31.250 (14.876)
Epoch: [0][1820/2639], lr: 0.02000	Time 0.589 (0.572)	Data 0.000 (0.009)	Loss 4.2665 (4.7608)	Prec@1 14.062 (4.154)	Prec@5 25.000 (14.997)
Epoch: [0][1840/2639], lr: 0.02000	Time 0.543 (0.572)	Data 0.000 (0.009)	Loss 4.2405 (4.7555)	Prec@1 10.938 (4.214)	Prec@5 26.562 (15.128)
Epoch: [0][1860/2639], lr: 0.02000	Time 0.542 (0.571)	Data 0.000 (0.008)	Loss 4.5125 (4.7509)	Prec@1 6.250 (4.282)	Prec@5 23.438 (15.271)
Epoch: [0][1880/2639], lr: 0.02000	Time 0.542 (0.571)	Data 0.000 (0.008)	Loss 4.0360 (4.7455)	Prec@1 10.938 (4.337)	Prec@5 40.625 (15.410)
Epoch: [0][1900/2639], lr: 0.02000	Time 0.542 (0.571)	Data 0.000 (0.008)	Loss 4.5117 (4.7403)	Prec@1 9.375 (4.413)	Prec@5 18.750 (15.563)
Epoch: [0][1920/2639], lr: 0.02000	Time 0.542 (0.571)	Data 0.000 (0.008)	Loss 4.0696 (4.7355)	Prec@1 10.938 (4.461)	Prec@5 35.938 (15.686)
Epoch: [0][1940/2639], lr: 0.02000	Time 0.541 (0.570)	Data 0.000 (0.008)	Loss 4.2921 (4.7305)	Prec@1 6.250 (4.522)	Prec@5 26.562 (15.813)
Epoch: [0][1960/2639], lr: 0.02000	Time 0.560 (0.570)	Data 0.000 (0.008)	Loss 4.2681 (4.7253)	Prec@1 7.812 (4.580)	Prec@5 28.125 (15.946)
Epoch: [0][1980/2639], lr: 0.02000	Time 0.542 (0.570)	Data 0.000 (0.008)	Loss 4.5596 (4.7194)	Prec@1 12.500 (4.646)	Prec@5 20.312 (16.106)
Epoch: [0][2000/2639], lr: 0.02000	Time 0.542 (0.570)	Data 0.000 (0.008)	Loss 3.9928 (4.7132)	Prec@1 17.188 (4.725)	Prec@5 37.500 (16.256)
Epoch: [0][2020/2639], lr: 0.02000	Time 0.546 (0.569)	Data 0.000 (0.008)	Loss 4.1331 (4.7081)	Prec@1 20.312 (4.788)	Prec@5 35.938 (16.392)
Epoch: [0][2040/2639], lr: 0.02000	Time 0.544 (0.569)	Data 0.000 (0.008)	Loss 3.9927 (4.7020)	Prec@1 14.062 (4.871)	Prec@5 40.625 (16.544)
Epoch: [0][2060/2639], lr: 0.02000	Time 0.542 (0.569)	Data 0.000 (0.008)	Loss 3.9198 (4.6963)	Prec@1 18.750 (4.948)	Prec@5 34.375 (16.704)
Epoch: [0][2080/2639], lr: 0.02000	Time 0.543 (0.569)	Data 0.000 (0.008)	Loss 4.4023 (4.6910)	Prec@1 10.938 (5.016)	Prec@5 29.688 (16.856)
Epoch: [0][2100/2639], lr: 0.02000	Time 0.544 (0.569)	Data 0.000 (0.008)	Loss 3.9804 (4.6850)	Prec@1 7.812 (5.088)	Prec@5 35.938 (17.019)
Epoch: [0][2120/2639], lr: 0.02000	Time 0.580 (0.569)	Data 0.000 (0.007)	Loss 4.2209 (4.6795)	Prec@1 10.938 (5.157)	Prec@5 31.250 (17.166)
Epoch: [0][2140/2639], lr: 0.02000	Time 0.557 (0.568)	Data 0.000 (0.007)	Loss 4.2582 (4.6738)	Prec@1 9.375 (5.220)	Prec@5 32.812 (17.316)
Epoch: [0][2160/2639], lr: 0.02000	Time 0.544 (0.568)	Data 0.000 (0.007)	Loss 3.8354 (4.6684)	Prec@1 10.938 (5.282)	Prec@5 35.938 (17.455)
Epoch: [0][2180/2639], lr: 0.02000	Time 0.543 (0.568)	Data 0.000 (0.007)	Loss 3.9425 (4.6631)	Prec@1 17.188 (5.344)	Prec@5 35.938 (17.589)
Epoch: [0][2200/2639], lr: 0.02000	Time 0.580 (0.568)	Data 0.000 (0.007)	Loss 4.1861 (4.6567)	Prec@1 12.500 (5.423)	Prec@5 29.688 (17.743)
Epoch: [0][2220/2639], lr: 0.02000	Time 0.541 (0.568)	Data 0.000 (0.007)	Loss 3.9901 (4.6510)	Prec@1 6.250 (5.501)	Prec@5 32.812 (17.885)
Epoch: [0][2240/2639], lr: 0.02000	Time 0.543 (0.568)	Data 0.000 (0.007)	Loss 3.9555 (4.6454)	Prec@1 15.625 (5.570)	Prec@5 37.500 (18.056)
Epoch: [0][2260/2639], lr: 0.02000	Time 0.583 (0.567)	Data 0.000 (0.007)	Loss 4.0022 (4.6395)	Prec@1 10.938 (5.624)	Prec@5 29.688 (18.200)
Epoch: [0][2280/2639], lr: 0.02000	Time 0.542 (0.567)	Data 0.000 (0.007)	Loss 4.3015 (4.6343)	Prec@1 10.938 (5.687)	Prec@5 37.500 (18.337)
Epoch: [0][2300/2639], lr: 0.02000	Time 0.541 (0.567)	Data 0.000 (0.007)	Loss 3.8569 (4.6285)	Prec@1 17.188 (5.767)	Prec@5 39.062 (18.487)
Epoch: [0][2320/2639], lr: 0.02000	Time 0.595 (0.567)	Data 0.000 (0.007)	Loss 4.3434 (4.6228)	Prec@1 10.938 (5.845)	Prec@5 25.000 (18.621)
Epoch: [0][2340/2639], lr: 0.02000	Time 0.541 (0.567)	Data 0.000 (0.007)	Loss 3.8824 (4.6171)	Prec@1 14.062 (5.915)	Prec@5 42.188 (18.760)
Epoch: [0][2360/2639], lr: 0.02000	Time 0.607 (0.567)	Data 0.000 (0.007)	Loss 3.9022 (4.6119)	Prec@1 14.062 (5.981)	Prec@5 32.812 (18.892)
